Ano,Municipio_COD-IBGE,Municipio_Nome,UF,Quantidade_Acidentes_com_CAT_Tipicos,Quantidade_Acidentes_com_CAT_Trajeto,Quantidade_Acidentes_com_CAT_Doenca_Profissional,Quantidade_Obitos,Quantidade_Acidentes_Sem_CAT
2007,110000,IGNORADO RONDONIA,RO,2,4,0,0,0
2007,110001,ALTA FLORESTA D OESTE,RO,18,7,0,0,0
2007,110002,ARIQUEMES,RO,105,27,3,2,149
2007,110003,CABIXI,RO,2,2,0,0,0
2007,110004,CACOAL,RO,122,37,17,0,135
2007,110005,CEREJEIRAS,RO,8,4,0,0,0
2007,110006,COLORADO DO OESTE,RO,10,6,0,0,53
2007,110007,CORUMBIARA,RO,11,3,0,0,0
2007,110008,COSTA MARQUES,RO,4,0,2,0,0
2007,110009,ESPIGAO D OESTE,RO,45,14,0,2,0
2007,110010,GUAJARA-MIRIM,RO,10,3,0,0,18
2007,110011,JARU,RO,47,10,1,1,41
2007,110012,JI-PARANA,RO,211,50,9,1,150
2007,110013,MACHADINHO D OESTE,RO,17,5,1,1,13
2007,110014,NOVA BRASILANDIA D OESTE,RO,6,2,0,0,17
2007,110015,OURO PRETO DO OESTE,RO,25,2,0,0,328
2007,110018,PIMENTA BUENO,RO,76,18,6,4,101
2007,110020,PORTO VELHO,RO,438,134,77,9,257
2007,110025,PRESIDENTE MEDICI,RO,17,2,0,0,0
2007,110026,RIO CRESPO,RO,1,1,0,0,0
2007,110028,ROLIM DE MOURA,RO,118,32,3,1,255
2007,110029,SANTA LUZIA D OESTE,RO,10,4,0,0,0
2007,110030,VILHENA,RO,190,47,16,5,93
2007,110032,SAO MIGUEL DO GUAPORE,RO,2,1,1,0,0
2007,110033,NOVA MAMORE,RO,3,0,0,0,0
2007,110034,ALVORADA D OESTE,RO,8,4,0,0,0
2007,110037,ALTO ALEGRE DOS PARECIS,RO,4,0,0,0,0
2007,110040,ALTO PARAISO,RO,15,3,0,0,0
2007,110045,BURITIS,RO,44,12,0,0,0
2007,110050,NOVO HORIZONTE DO OESTE,RO,6,2,0,0,0
2007,110060,CACAULANDIA,RO,1,0,1,0,0
2007,110070,CAMPO NOVO DE RONDONIA,RO,2,1,0,0,0
2007,110080,CANDEIAS DO JAMARI,RO,8,1,1,0,0
2007,110090,CASTANHEIRAS,RO,1,0,0,0,0
2007,110092,CHUPINGUAIA,RO,37,1,0,0,0
2007,110094,CUJUBIM,RO,15,2,0,1,0
2007,110100,GOVERNADOR JORGE TEIXEIRA,RO,5,0,0,0,0
2007,110110,ITAPUA DO OESTE,RO,10,2,0,0,0
2007,110120,MINISTRO ANDREAZZA,RO,6,1,0,1,0
2007,110130,MIRANTE DA SERRA,RO,6,0,0,0,0
2007,110140,MONTE NEGRO,RO,13,4,0,0,0
2007,110143,NOVA UNIAO,RO,2,0,0,0,0
2007,110145,PARECIS,RO,5,1,0,1,0
2007,110146,PIMENTEIRAS DO OESTE,RO,2,0,0,0,0
2007,110147,PRIMAVERA DE RONDONIA,RO,3,1,0,0,0
2007,110148,SAO FELIPE D OESTE,RO,2,0,0,0,0
2007,110149,SAO FRANCISCO DO GUAPORE,RO,14,2,2,0,0
2007,110150,SERINGUEIRAS,RO,2,1,0,0,0
2007,110155,TEIXEIROPOLIS,RO,1,1,0,0,0
2007,110160,THEOBROMA,RO,4,0,0,0,0
2007,110170,URUPA,RO,4,0,0,0,0
2007,110175,VALE DO ANARI,RO,2,1,0,0,0
2007,110180,VALE DO PARAISO,RO,3,0,0,0,0
2007,120000,IGNORADO ACRE,AC,3,2,0,0,0
2007,120001,ACRELANDIA,AC,1,0,0,0,0
2007,120005,ASSIS BRASIL,AC,0,1,0,0,0
2007,120010,BRASILEIA,AC,5,2,0,0,8
2007,120013,BUJARI,AC,2,0,0,0,0
2007,120017,CAPIXABA,AC,5,2,0,0,0
2007,120020,CRUZEIRO DO SUL,AC,12,1,1,1,48
2007,120025,EPITACIOLANDIA,AC,1,1,0,0,0
2007,120030,FEIJO,AC,4,1,0,0,0
2007,120034,MANOEL URBANO,AC,1,0,0,0,0
2007,120038,PLACIDO DE CASTRO,AC,1,1,0,0,0
2007,120040,RIO BRANCO,AC,233,66,20,5,186
2007,120045,SENADOR GUIOMARD,AC,20,1,0,1,0
2007,120050,SENA MADUREIRA,AC,4,2,0,2,3
2007,120060,TARAUACA,AC,3,2,0,0,2
2007,120070,XAPURI,AC,5,0,0,0,0
2007,120080,PORTO ACRE,AC,2,0,0,0,0
2007,130000,IGNORADO AMAZONAS,AM,4,0,0,0,0
2007,130008,ANAMA,AM,4,0,0,0,0
2007,130010,ANORI,AM,5,1,0,0,0
2007,130014,APUI,AM,1,1,0,0,0
2007,130030,AUTAZES,AM,2,0,0,0,0
2007,130040,BARCELOS,AM,0,0,1,0,0
2007,130050,BARREIRINHA,AM,1,0,0,0,0
2007,130063,BERURI,AM,2,0,0,0,0
2007,130070,BOCA DO ACRE,AM,7,1,0,1,0
2007,130083,CAAPIRANGA,AM,11,1,0,0,0
2007,130100,CARAUARI,AM,2,0,0,0,0
2007,130110,CAREIRO,AM,2,1,0,0,0
2007,130120,COARI,AM,143,8,0,1,31
2007,130130,CODAJAS,AM,8,0,0,0,0
2007,130165,GUAJARA,AM,1,0,0,0,0
2007,130170,HUMAITA,AM,3,1,0,0,0
2007,130180,IPIXUNA,AM,1,0,0,0,0
2007,130185,IRANDUBA,AM,12,1,0,1,0
2007,130190,ITACOATIARA,AM,112,13,1,1,16
2007,130200,ITAPIRANGA,AM,1,0,0,0,0
2007,130240,LABREA,AM,2,0,0,0,0
2007,130250,MANACAPURU,AM,44,2,0,1,7
2007,130260,MANAUS,AM,4742,767,788,18,1545
2007,130270,MANICORE,AM,3,0,0,0,0
2007,130290,MAUES,AM,2,0,0,0,5
2007,130320,NOVO AIRAO,AM,1,0,0,0,0
2007,130340,PARINTINS,AM,2,1,0,0,4
2007,130350,PAUINI,AM,1,0,0,0,0
2007,130353,PRESIDENTE FIGUEIREDO,AM,190,3,3,1,0
2007,130356,RIO PRETO DA EVA,AM,4,0,0,0,0
2007,130395,SAO SEBASTIAO DO UATUMA,AM,1,0,0,0,0
2007,130400,SILVES,AM,1,0,0,0,0
2007,130406,TABATINGA,AM,0,2,0,0,0
2007,130420,TEFE,AM,1,3,0,0,12
2007,130430,URUCARA,AM,0,0,1,0,0
2007,140000,IGNORADO RORAIMA,RR,0,1,0,0,0
2007,140005,ALTO ALEGRE,RR,1,0,0,1,0
2007,140010,BOA VISTA,RR,134,53,7,4,180
2007,140015,BONFIM,RR,2,0,0,0,0
2007,140020,CARACARAI,RR,5,0,0,0,21
2007,140030,MUCAJAI,RR,2,2,0,0,0
2007,140045,PACARAIMA,RR,1,1,1,0,0
2007,140047,RORAINOPOLIS,RR,8,1,0,0,5
2007,140050,SAO JOAO DA BALIZA,RR,4,0,0,0,0
2007,150000,IGNORADO PARA,PA,4,2,0,0,0
2007,150010,ABAETETUBA,PA,12,9,0,0,17
2007,150013,ABEL FIGUEIREDO,PA,2,0,0,0,0
2007,150020,ACARA,PA,158,0,2,1,0
2007,150030,AFUA,PA,2,0,0,0,0
2007,150034,AGUA AZUL DO NORTE,PA,123,3,6,0,0
2007,150040,ALENQUER,PA,0,1,0,0,1
2007,150050,ALMEIRIM,PA,295,8,8,1,0
2007,150060,ALTAMIRA,PA,30,15,3,0,17
2007,150070,ANAJAS,PA,3,0,0,0,0
2007,150080,ANANINDEUA,PA,482,98,42,2,96
2007,150085,ANAPU,PA,6,2,0,0,0
2007,150090,AUGUSTO CORREA,PA,1,0,0,0,0
2007,150095,AURORA DO PARA,PA,4,0,0,0,0
2007,150100,AVEIRO,PA,4,0,0,0,0
2007,150120,BAIAO,PA,4,0,0,0,0
2007,150125,BANNACH,PA,3,0,0,0,0
2007,150130,BARCARENA,PA,570,32,21,1,0
2007,150140,BELEM,PA,2112,362,180,16,653
2007,150145,BELTERRA,PA,2,1,0,0,0
2007,150150,BENEVIDES,PA,54,4,6,0,0
2007,150157,BOM JESUS DO TOCANTINS,PA,4,0,3,0,0
2007,150160,BONITO,PA,1,0,0,0,0
2007,150170,BRAGANCA,PA,17,3,1,0,9
2007,150172,BRASIL NOVO,PA,4,0,0,0,0
2007,150178,BREU BRANCO,PA,37,9,0,3,0
2007,150180,BREVES,PA,33,0,0,0,0
2007,150195,CACHOEIRA DO PIRIA,PA,1,0,0,0,0
2007,150210,CAMETA,PA,1,1,0,0,5
2007,150215,CANAA DOS CARAJAS,PA,115,9,3,0,0
2007,150220,CAPANEMA,PA,30,6,1,0,39
2007,150230,CAPITAO POCO,PA,23,3,0,0,0
2007,150240,CASTANHAL,PA,173,49,5,3,110
2007,150270,CONCEICAO DO ARAGUAIA,PA,19,4,2,1,16
2007,150275,CONCORDIA DO PARA,PA,4,0,0,0,0
2007,150276,CUMARU DO NORTE,PA,36,5,0,1,0
2007,150277,CURIONOPOLIS,PA,8,2,0,0,0
2007,150280,CURRALINHO,PA,0,0,0,1,0
2007,150285,CURUA,PA,1,0,0,0,0
2007,150290,CURUCA,PA,2,1,0,0,0
2007,150293,DOM ELISEU,PA,57,12,5,0,0
2007,150295,ELDORADO DOS CARAJAS,PA,39,1,0,0,0
2007,150304,FLORESTA DO ARAGUAIA,PA,2,0,1,0,0
2007,150307,GARRAFAO DO NORTE,PA,3,1,0,0,0
2007,150309,GOIANESIA DO PARA,PA,18,9,0,3,0
2007,150310,GURUPA,PA,1,0,0,0,0
2007,150320,IGARAPE-ACU,PA,46,1,0,0,0
2007,150330,IGARAPE-MIRI,PA,1,0,0,0,0
2007,150340,INHANGAPI,PA,1,0,1,0,0
2007,150345,IPIXUNA DO PARA,PA,23,0,0,0,0
2007,150350,IRITUIA,PA,1,1,0,0,0
2007,150360,ITAITUBA,PA,68,17,2,0,31
2007,150370,ITUPIRANGA,PA,6,1,0,0,0
2007,150375,JACAREACANGA,PA,0,2,0,0,0
2007,150380,JACUNDA,PA,27,1,0,0,0
2007,150390,JURUTI,PA,38,17,1,0,0
2007,150405,MAE DO RIO,PA,4,0,0,0,0
2007,150420,MARABA,PA,538,37,4,4,167
2007,150440,MARAPANIM,PA,2,2,0,0,0
2007,150442,MARITUBA,PA,63,12,4,2,0
2007,150445,MEDICILANDIA,PA,2,2,0,0,0
2007,150460,MOCAJUBA,PA,2,0,0,0,0
